,lat,lon
480,-23.327083,-51.203722
481,-23.327083,-51.203722
482,-23.327083,-51.203722
483,-23.327083,-51.203722
484,-23.327083,-51.203722
485,-23.327083,-51.203722
486,-23.327083,-51.203722
487,-23.327083,-51.203722
488,-23.327083,-51.203722
489,-23.191758,-51.182722
490,-23.448333,-51.257222
491,-23.448333,-51.257222
492,-23.448333,-51.257222
493,-23.448333,-51.257222
494,-23.448333,-51.257222
495,-23.448333,-51.257222
496,-23.441667,-51.253333
497,-23.441667,-51.253333
498,-23.441667,-51.253333
499,-23.441667,-51.253333
500,-23.442222,-51.246944
501,-23.442222,-51.246944
502,-23.442222,-51.246944
503,-23.442222,-51.246944
504,-23.442222,-51.246944
505,-23.442222,-51.246944
506,-23.442222,-51.246944
507,-23.442222,-51.246944
508,-23.442222,-51.246944
509,-23.442222,-51.246944
510,-23.442222,-51.246944
511,-23.442222,-51.246944
512,-23.442222,-51.246944
513,-23.442222,-51.246944
514,-23.442222,-51.246944
515,-23.442222,-51.246944
516,-23.440833,-51.257778
517,-23.440833,-51.257778
518,-23.440833,-51.257778
519,-23.440833,-51.257778
520,-23.440833,-51.257778
521,-23.440833,-51.257778
522,-23.440833,-51.257778
523,-23.441667,-51.253333
524,-23.441667,-51.253333
525,-23.442222,-51.246944
526,-23.442222,-51.246944
527,-23.440833,-51.257778
528,-23.441667,-51.253333
529,-23.442222,-51.246944
530,-23.442222,-51.246944
531,-23.441667,-51.253333
532,-23.440833,-51.257778
533,-23.442222,-51.246944
534,-23.440833,-51.257778
535,-23.440833,-51.257778
536,-23.4475,-51.253331
537,-23.4475,-51.253333
538,-23.440831,-51.257778
539,-23.441667,-51.246944
540,-23.440833,-51.255
541,-23.195556,-51.171667
542,-23.195556,-51.171667
543,-23.195556,-51.171667
544,-23.195556,-51.171667
545,-23.195556,-51.171667
546,-23.195556,-51.171667
547,-23.195556,-51.175833
548,-23.195556,-51.175833
549,-23.195556,-51.175833
550,-23.195556,-51.175833
551,-23.195556,-51.175833
552,-23.195556,-51.175833
553,-23.351389,-51.078889
554,-23.351389,-51.078889
